"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Rifferswil ZH","91,9 Prozent der Stimmbürgerinnen und Stimmbürger von Rifferswil sagen Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf. Rifferswil hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Rifferswil (ZH)","Les habitants de Rifferswil s'opposent à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre par 91,9 pour cent des voix. Rifferswil a rejeté la réforme, tout comme son canton.","Rifferswil (ZH)","Gli abitanti di Rifferswil hanno respinto la modifica del diritto di locazione (disdetta per bisogno personale) con il 91,9 per cento di ""no"". Rifferswil ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Stallikon ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Stallikon. Die Gemeinde hat die Vorlage mit 79,1 Prozent abgelehnt. Stallikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Stallikon (ZH)","A Stallikon, les citoyens rejettent à 79,1 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Stallikon a rejeté la réforme, tout comme son canton.","Stallikon (ZH)","Nel comune di Stallikon, i cittadini hanno respinto la modifica del diritto di locazione (disdetta per bisogno personale) con il 79,1 per cento di voti contrari. Stallikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Wettswil am Albis ZH","Die Gemeinde Wettswil am Albis hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 59,7 Prozent Ja-Stimmen angenommen. Wettswil am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Wettswil am Albis (ZH)","La population de Wettswil am Albis approuve à 59,7 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Wettswil am Albis a approuvé la réforme, contrairement à son canton.","Wettswil am Albis (ZH)","I cittadini di Wettswil am Albis hanno accolto la modifica del diritto di locazione (disdetta per bisogno personale) con il 59,7 per cento di voti a favore. Wettswil am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Benken ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Benken ZH. Die Gemeinde hat die Vorlage mit 90,3 Prozent der Stimmen angenommen. Benken ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Benken (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre passe la rampe avec 90,3 pour cent de oui à Benken (ZH). Benken (ZH) a approuvé la réforme, contrairement à son canton.","Benken (ZH)","La modifica del diritto di locazione (disdetta per bisogno personale) è stata accolta a Benken ZH, dove ha riscosso il 90,3 per cento di voti a favore. Benken ZH ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Berg am Irchel ZH","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Berg am Irchel: Mit 7'852 Nein-Stimmen zu 329 Ja-Stimmen oder 96 Prozent hat die Gemeinde die Vorlage verworfen. Berg am Irchel hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Berg am Irchel (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre n'a pas convaincu à Berg am Irchel. Les citoyens de la commune ont refusé le texte à 96 pour cent. Berg am Irchel a rejeté la réforme, tout comme son canton.","Berg am Irchel (ZH)","Il 96 per cento degli elettori di Berg am Irchel ha respinto la modifica del diritto di locazione (disdetta per bisogno personale). Berg am Irchel ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Buch am Irchel ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf  in Buch am Irchel: Mit 9'984 Nein- zu 4'297 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 69,9 Prozent. Buch am Irchel hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Buch am Irchel (ZH)","C'est non à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre à Buch am Irchel. Les habitants ont refusé le texte à 69,9 pour cent. Buch am Irchel a rejeté la réforme, tout comme son canton.","Buch am Irchel (ZH)","Gli elettori di Buch am Irchel si sono mostrati scettici nei confronti della modifica del diritto di locazione (disdetta per bisogno personale), che è stata respinta con il 69,9 per cento di voti contrari. Buch am Irchel ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dachsen ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf  in Dachsen: Mit 9'521 Nein- zu 1'589 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 85,7 Prozent. Dachsen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dachsen (ZH)","C'est non à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre à Dachsen. Les habitants ont refusé le texte à 85,7 pour cent. Dachsen a rejeté la réforme, tout comme son canton.","Dachsen (ZH)","Gli elettori di Dachsen si sono mostrati scettici nei confronti della modifica del diritto di locazione (disdetta per bisogno personale), che è stata respinta con il 85,7 per cento di voti contrari. Dachsen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dorf ZH","In Dorf hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 56,6 Prozent angenommen. Dorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Dorf (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre est approuvé à Dorf par 56,6 pour cent des votants. Dorf a approuvé la réforme, contrairement à son canton.","Dorf (ZH)","A Dorf gli abitanti hanno accolto la modifica del diritto di locazione (disdetta per bisogno personale) con il 56,6 per cento di ""sì"". Dorf ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Feuerthalen ZH","79,2 Prozent der Abstimmenden in der Gemeinde Feuerthalen haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf. Feuerthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Feuerthalen (ZH)","Les habitants de Feuerthalen acceptent avec 79,2 pour cent de oui l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Feuerthalen a approuvé la réforme, contrairement à son canton.","Feuerthalen (ZH)","Il 79,2 per cento degli elettori di Feuerthalen ha accolto la modifica del diritto di locazione (disdetta per bisogno personale). Feuerthalen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Flaach ZH","In Flaach hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf keine Mehrheit gefunden. Auf 77,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Flaach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Flaach (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre est refusé à 77,8 pour cent à Flaach. Flaach a rejeté la réforme, tout comme son canton.","Flaach (ZH)","I cittadini di Flaach hanno respinto la modifica del diritto di locazione (disdetta per bisogno personale) con il 77,8 per cento di voti contrari. Flaach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Flurlingen ZH","58,4 Prozent der Abstimmenden in der Gemeinde Flurlingen haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf. Flurlingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Flurlingen (ZH)","Les habitants de Flurlingen acceptent avec 58,4 pour cent de oui l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Flurlingen a approuvé la réforme, contrairement à son canton.","Flurlingen (ZH)","Il 58,4 per cento degli elettori di Flurlingen ha accolto la modifica del diritto di locazione (disdetta per bisogno personale). Flurlingen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Henggart ZH","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Henggart: Mit 9'463 Nein-Stimmen zu 5'819 Ja-Stimmen oder 61,9 Prozent hat die Gemeinde die Vorlage verworfen. Henggart hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Henggart (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre n'a pas convaincu à Henggart. Les citoyens de la commune ont refusé le texte à 61,9 pour cent. Henggart a rejeté la réforme, tout comme son canton.","Henggart (ZH)","Il 61,9 per cento degli elettori di Henggart ha respinto la modifica del diritto di locazione (disdetta per bisogno personale). Henggart ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Kleinandelfingen ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Kleinandelfingen: Mit 72,9 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Kleinandelfingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Kleinandelfingen (ZH)","Kleinandelfingen dit oui à 72,9 pour cent à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Kleinandelfingen a approuvé la réforme, contrairement à son canton.","Kleinandelfingen (ZH)","Gli abitanti di Kleinandelfingen hanno accolto la modifica del diritto di locazione (disdetta per bisogno personale) con il 72,9 per cento di ""sì"". Kleinandelfingen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Laufen-Uhwiesen ZH","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Laufen-Uhwiesen: Mit 6'586 Nein-Stimmen zu 5'432 Ja-Stimmen oder 54,8 Prozent hat die Gemeinde die Vorlage verworfen. Laufen-Uhwiesen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Laufen-Uhwiesen (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre n'a pas convaincu à Laufen-Uhwiesen. Les citoyens de la commune ont refusé le texte à 54,8 pour cent. Laufen-Uhwiesen a rejeté la réforme, tout comme son canton.","Laufen-Uhwiesen (ZH)","Il 54,8 per cento degli elettori di Laufen-Uhwiesen ha respinto la modifica del diritto di locazione (disdetta per bisogno personale). Laufen-Uhwiesen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Marthalen ZH","75 Prozent der Stimmbürgerinnen und Stimmbürger von Marthalen sagen Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf. Marthalen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Marthalen (ZH)","Les habitants de Marthalen s'opposent à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre par 75 pour cent des voix. Marthalen a rejeté la réforme, tout comme son canton.","Marthalen (ZH)","Gli abitanti di Marthalen hanno respinto la modifica del diritto di locazione (disdetta per bisogno personale) con il 75 per cento di ""no"". Marthalen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Ossingen ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Ossingen. Die Gemeinde hat die Vorlage mit 56,1 Prozent der Stimmen angenommen. Ossingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Ossingen (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre passe la rampe avec 56,1 pour cent de oui à Ossingen. Ossingen a approuvé la réforme, contrairement à son canton.","Ossingen (ZH)","La modifica del diritto di locazione (disdetta per bisogno personale) è stata accolta a Ossingen, dove ha riscosso il 56,1 per cento di voti a favore. Ossingen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Rheinau ZH","Die Gemeinde Rheinau hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 77,5 Prozent Ja-Stimmen angenommen. Rheinau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Rheinau (ZH)","La population de Rheinau approuve à 77,5 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Rheinau a approuvé la réforme, contrairement à son canton.","Rheinau (ZH)","I cittadini di Rheinau hanno accolto la modifica del diritto di locazione (disdetta per bisogno personale) con il 77,5 per cento di voti a favore. Rheinau ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Thalheim an der Thur ZH","In Thalheim an der Thur hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf keine Mehrheit gefunden. Auf 57,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Thalheim an der Thur hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Thalheim an der Thur (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre est refusé à 57,2 pour cent à Thalheim an der Thur. Thalheim an der Thur a rejeté la réforme, tout comme son canton.","Thalheim an der Thur (ZH)","I cittadini di Thalheim an der Thur hanno respinto la modifica del diritto di locazione (disdetta per bisogno personale) con il 57,2 per cento di voti contrari. Thalheim an der Thur ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Trüllikon ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf  in Trüllikon: Mit 4'844 Nein- zu 1'187 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 80,3 Prozent. Trüllikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Trüllikon (ZH)","C'est non à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre à Trüllikon. Les habitants ont refusé le texte à 80,3 pour cent. Trüllikon a rejeté la réforme, tout comme son canton.","Trüllikon (ZH)","Gli elettori di Trüllikon si sono mostrati scettici nei confronti della modifica del diritto di locazione (disdetta per bisogno personale), che è stata respinta con il 80,3 per cento di voti contrari. Trüllikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Truttikon ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Truttikon. Die Gemeinde hat die Vorlage mit 65,9 Prozent abgelehnt. Truttikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Truttikon (ZH)","A Truttikon, les citoyens rejettent à 65,9 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Truttikon a rejeté la réforme, tout comme son canton.","Truttikon (ZH)","Nel comune di Truttikon, i cittadini hanno respinto la modifica del diritto di locazione (disdetta per bisogno personale) con il 65,9 per cento di voti contrari. Truttikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Volken ZH","In Volken hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 55,4 Prozent angenommen. Volken hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Volken (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre est approuvé à Volken par 55,4 pour cent des votants. Volken a approuvé la réforme, contrairement à son canton.","Volken (ZH)","A Volken gli abitanti hanno accolto la modifica del diritto di locazione (disdetta per bisogno personale) con il 55,4 per cento di ""sì"". Volken ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Bachenbülach ZH","98,8 Prozent der Stimmbürgerinnen und Stimmbürger von Bachenbülach haben die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf angenommen. Bachenbülach hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Zürich.","Bachenbülach (ZH)","Les habitants de Bachenbülach soutiennent à 98,8 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Le plus fort pourcentage de oui du canton de Zurich a été obtenu à Bachenbülach.","Bachenbülach (ZH)","Gli elettori di Bachenbülach si sono mostrati favorevoli alla modifica del diritto di locazione (disdetta per bisogno personale), che ha ricevuto il 98,8 per cento di ""sì"". Il maggior numero di ""sì"" nel canton Zurigo è stato ottenuto a Bachenbülach."
"Bassersdorf ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Bassersdorf. Die Gemeinde hat die Vorlage mit 54,7 Prozent abgelehnt. Bassersdorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bassersdorf (ZH)","A Bassersdorf, les citoyens rejettent à 54,7 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Bassersdorf a rejeté la réforme, tout comme son canton.","Bassersdorf (ZH)","Nel comune di Bassersdorf, i cittadini hanno respinto la modifica del diritto di locazione (disdetta per bisogno personale) con il 54,7 per cento di voti contrari. Bassersdorf ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bülach ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Bülach. Die Gemeinde hat die Vorlage mit 57,8 Prozent der Stimmen angenommen. Bülach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Bülach (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre passe la rampe avec 57,8 pour cent de oui à Bülach. Bülach a approuvé la réforme, contrairement à son canton.","Bülach (ZH)","La modifica del diritto di locazione (disdetta per bisogno personale) è stata accolta a Bülach, dove ha riscosso il 57,8 per cento di voti a favore. Bülach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Dietlikon ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf  in Dietlikon: Mit 1'507 Nein- zu 1'282 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 54 Prozent. Dietlikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dietlikon (ZH)","C'est non à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre à Dietlikon. Les habitants ont refusé le texte à 54 pour cent. Dietlikon a rejeté la réforme, tout comme son canton.","Dietlikon (ZH)","Gli elettori di Dietlikon si sono mostrati scettici nei confronti della modifica del diritto di locazione (disdetta per bisogno personale), che è stata respinta con il 54 per cento di voti contrari. Dietlikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Eglisau ZH","Eglisau hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 72,2 Prozent abgelehnt. Eglisau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Eglisau (ZH)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre n'a pas trouvé grâce aux yeux des citoyens d'Eglisau. Ils ont refusé le texte à 72,2 pour cent. Eglisau a rejeté la réforme, tout comme son canton.","Eglisau (ZH)","La modifica del diritto di locazione (disdetta per bisogno personale) è stata respinta a Eglisau, dove ha riscosso il 72,2 per cento di ""no"". Eglisau ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Embrach ZH","Die Gemeinde Embrach hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 86,1 Prozent Ja-Stimmen angenommen. Embrach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Embrach (ZH)","La population d'Embrach approuve à 86,1 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Embrach a approuvé la réforme, contrairement à son canton.","Embrach (ZH)","I cittadini di Embrach hanno accolto la modifica del diritto di locazione (disdetta per bisogno personale) con il 86,1 per cento di voti a favore. Embrach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
