"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Ottenbach ZH","51,7 Prozent der Stimmbürgerinnen und Stimmbürger von Ottenbach sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Ottenbach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Ottenbach (ZH)","Les habitants d'Ottenbach s'opposent à la réforme en faveur de l'extension des autoroutes par 51,7 pour cent des voix. Ottenbach a rejeté l'arrêté, tout comme son canton.","Ottenbach (ZH)","Gli abitanti di Ottenbach hanno respinto il potenziamento delle strade nazionali con il 51,7 per cento di ""no"". Ottenbach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Rifferswil ZH","62 Prozent der Stimmbürgerinnen und Stimmbürger von Rifferswil sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Rifferswil hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Rifferswil (ZH)","Les habitants de Rifferswil s'opposent à la réforme en faveur de l'extension des autoroutes par 62 pour cent des voix. Rifferswil a rejeté l'arrêté, tout comme son canton.","Rifferswil (ZH)","Gli abitanti di Rifferswil hanno respinto il potenziamento delle strade nazionali con il 62 per cento di ""no"". Rifferswil ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Stallikon ZH","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Stallikon. Die Gemeinde hat die Vorlage mit 51,3 Prozent abgelehnt. Stallikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Stallikon (ZH)","A Stallikon, les citoyens rejettent à 51,3 pour cent la réforme en faveur de l'extension des autoroutes. Stallikon a rejeté l'arrêté, tout comme son canton.","Stallikon (ZH)","Nel comune di Stallikon, i cittadini hanno respinto il potenziamento delle strade nazionali con il 51,3 per cento di voti contrari. Stallikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Wettswil am Albis ZH","In Wettswil am Albis hat der Bundesbeschluss über den Ausbau der Autobahnen keine Mehrheit gefunden. Auf 54,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Wettswil am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Wettswil am Albis (ZH)","La réforme en faveur de l'extension des autoroutes est refusée à 54,1 pour cent à Wettswil am Albis. Wettswil am Albis a rejeté l'arrêté, tout comme son canton.","Wettswil am Albis (ZH)","I cittadini di Wettswil am Albis hanno respinto il potenziamento delle strade nazionali con il 54,1 per cento di voti contrari. Wettswil am Albis ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Benken ZH","Benken ZH hat den Bundesbeschluss über den Ausbau der Autobahnen mit 57,2 Prozent abgelehnt. Benken ZH hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Benken (ZH)","La réforme en faveur de l'extension des autoroutes n'a pas trouvé grâce aux yeux des citoyens de Benken (ZH). Ils ont refusé le texte à 57,2 pour cent. Benken (ZH) a rejeté l'arrêté, tout comme son canton.","Benken (ZH)","Il potenziamento delle strade nazionali è stato respinto a Benken ZH, dove ha riscosso il 57,2 per cento di ""no"". Benken ZH ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Berg am Irchel ZH","Keine Mehrheit für den Bundesbeschluss über den Ausbau der Autobahnen in Berg am Irchel: Mit 7'387 Nein-Stimmen zu 423 Ja-Stimmen oder 94,6 Prozent hat die Gemeinde die Vorlage verworfen. Berg am Irchel hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Berg am Irchel (ZH)","Les projets d'extension du réseau autoroutier n'ont pas convaincu à Berg am Irchel. Les citoyens de la commune ont refusé le texte à 94,6 pour cent. Berg am Irchel a rejeté l'arrêté, tout comme son canton.","Berg am Irchel (ZH)","Il 94,6 per cento degli elettori di Berg am Irchel ha respinto il potenziamento delle strade nazionali. Berg am Irchel ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Buch am Irchel ZH","58 Prozent der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Buch am Irchel hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Buch am Irchel (ZH)","Les habitants de Buch am Irchel soutiennent à 58 pour cent la réforme en faveur de l'extension des autoroutes. Buch am Irchel a approuvé l'arrêté, contrairement à son canton.","Buch am Irchel (ZH)","Gli elettori di Buch am Irchel si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 58 per cento di ""sì"". Buch am Irchel ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Dachsen ZH","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Dachsen: Mit 8'400 Nein- zu 2'374 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 78 Prozent. Dachsen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dachsen (ZH)","C'est non à la réforme en faveur de l'extension des autoroutes à Dachsen. Les habitants ont refusé le texte à 78 pour cent. Dachsen a rejeté l'arrêté, tout comme son canton.","Dachsen (ZH)","Gli elettori di Dachsen si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stato respinto con il 78 per cento di voti contrari. Dachsen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dorf ZH","In Dorf hat die Stimmbevölkerung dem Bundesbeschluss über den Ausbau der Autobahnen zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 51,9 Prozent angenommen. Dorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Dorf (ZH)","L'extension du réseau des autoroutes est approuvée à Dorf par 51,9 pour cent des votants. Dorf a approuvé l'arrêté, contrairement à son canton.","Dorf (ZH)","A Dorf gli abitanti hanno accolto il potenziamento delle strade nazionali con il 51,9 per cento di ""sì"". Dorf ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Feuerthalen ZH","79,5 Prozent der Abstimmenden in der Gemeinde Feuerthalen haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Feuerthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Feuerthalen (ZH)","Les habitants de Feuerthalen acceptent avec 79,5 pour cent de oui la réforme en faveur de l'extension des autoroutes. Feuerthalen a approuvé l'arrêté, contrairement à son canton.","Feuerthalen (ZH)","Il 79,5 per cento degli elettori di Feuerthalen ha accolto il potenziamento delle strade nazionali. Feuerthalen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Flaach ZH","Die Gemeinde Flaach hat den Bundesbeschluss über den Ausbau der Autobahnen mit 78,1 Prozent Ja-Stimmen angenommen. Flaach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Flaach (ZH)","La population de Flaach approuve à 78,1 pour cent la réforme en faveur de l'extension des autoroutes. Flaach a approuvé l'arrêté, contrairement à son canton.","Flaach (ZH)","I cittadini di Flaach hanno accolto il potenziamento delle strade nazionali con il 78,1 per cento di voti a favore. Flaach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Flurlingen ZH","92,9 Prozent der Abstimmenden in der Gemeinde Flurlingen haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Flurlingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Flurlingen (ZH)","Les habitants de Flurlingen acceptent avec 92,9 pour cent de oui la réforme en faveur de l'extension des autoroutes. Flurlingen a approuvé l'arrêté, contrairement à son canton.","Flurlingen (ZH)","Il 92,9 per cento degli elettori di Flurlingen ha accolto il potenziamento delle strade nazionali. Flurlingen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Henggart ZH","Keine Mehrheit für den Bundesbeschluss über den Ausbau der Autobahnen in Henggart: Mit 2'379 Nein-Stimmen zu 1'109 Ja-Stimmen oder 68,2 Prozent hat die Gemeinde die Vorlage verworfen. Henggart hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Henggart (ZH)","Les projets d'extension du réseau autoroutier n'ont pas convaincu à Henggart. Les citoyens de la commune ont refusé le texte à 68,2 pour cent. Henggart a rejeté l'arrêté, tout comme son canton.","Henggart (ZH)","Il 68,2 per cento degli elettori di Henggart ha respinto il potenziamento delle strade nazionali. Henggart ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Kleinandelfingen ZH","61,4 Prozent der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Kleinandelfingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Kleinandelfingen (ZH)","Les habitants de Kleinandelfingen s'opposent à la réforme en faveur de l'extension des autoroutes par 61,4 pour cent des voix. Kleinandelfingen a rejeté l'arrêté, tout comme son canton.","Kleinandelfingen (ZH)","Gli abitanti di Kleinandelfingen hanno respinto il potenziamento delle strade nazionali con il 61,4 per cento di ""no"". Kleinandelfingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Laufen-Uhwiesen ZH","79,3 Prozent der Abstimmenden in der Gemeinde Laufen-Uhwiesen haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Laufen-Uhwiesen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Laufen-Uhwiesen (ZH)","Les habitants de Laufen-Uhwiesen acceptent avec 79,3 pour cent de oui la réforme en faveur de l'extension des autoroutes. Laufen-Uhwiesen a approuvé l'arrêté, contrairement à son canton.","Laufen-Uhwiesen (ZH)","Il 79,3 per cento degli elettori di Laufen-Uhwiesen ha accolto il potenziamento delle strade nazionali. Laufen-Uhwiesen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Marthalen ZH","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Marthalen: Mit 51,8 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Marthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Marthalen (ZH)","Marthalen dit oui à 51,8 pour cent à de la réforme en faveur de l'extension des autoroutes. Marthalen a approuvé l'arrêté, contrairement à son canton.","Marthalen (ZH)","Gli abitanti di Marthalen hanno accolto il potenziamento delle strade nazionali con il 51,8 per cento di ""sì"". Marthalen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Ossingen ZH","Ossingen hat den Bundesbeschluss über den Ausbau der Autobahnen mit 78,5 Prozent abgelehnt. Ossingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Ossingen (ZH)","La réforme en faveur de l'extension des autoroutes n'a pas trouvé grâce aux yeux des citoyens d'Ossingen. Ils ont refusé le texte à 78,5 pour cent. Ossingen a rejeté l'arrêté, tout comme son canton.","Ossingen (ZH)","Il potenziamento delle strade nazionali è stato respinto a Ossingen, dove ha riscosso il 78,5 per cento di ""no"". Ossingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Rheinau ZH","Die Gemeinde Rheinau hat den Bundesbeschluss über den Ausbau der Autobahnen mit 59,3 Prozent Ja-Stimmen angenommen. Rheinau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Rheinau (ZH)","La population de Rheinau approuve à 59,3 pour cent la réforme en faveur de l'extension des autoroutes. Rheinau a approuvé l'arrêté, contrairement à son canton.","Rheinau (ZH)","I cittadini di Rheinau hanno accolto il potenziamento delle strade nazionali con il 59,3 per cento di voti a favore. Rheinau ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Thalheim an der Thur ZH","Die Gemeinde Thalheim an der Thur hat den Bundesbeschluss über den Ausbau der Autobahnen mit 97,9 Prozent Ja-Stimmen angenommen. Thalheim an der Thur hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Zürich.","Thalheim an der Thur (ZH)","La population de Thalheim an der Thur approuve à 97,9 pour cent la réforme en faveur de l'extension des autoroutes. Le plus fort pourcentage de oui du canton de Zurich a été obtenu à Thalheim an der Thur.","Thalheim an der Thur (ZH)","I cittadini di Thalheim an der Thur hanno accolto il potenziamento delle strade nazionali con il 97,9 per cento di voti a favore. Il maggior numero di ""sì"" nel canton Zurigo è stato ottenuto a Thalheim an der Thur."
"Trüllikon ZH","72,2 Prozent der Stimmbürgerinnen und Stimmbürger von Trüllikon haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Trüllikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Trüllikon (ZH)","Les habitants de Trüllikon soutiennent à 72,2 pour cent la réforme en faveur de l'extension des autoroutes. Trüllikon a approuvé l'arrêté, contrairement à son canton.","Trüllikon (ZH)","Gli elettori di Trüllikon si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 72,2 per cento di ""sì"". Trüllikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Truttikon ZH","Die Gemeinde Truttikon hat den Bundesbeschluss über den Ausbau der Autobahnen mit 84,3 Prozent angenommen. Truttikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Truttikon (ZH)","A Truttikon, les habitants disent oui à  84,3 pour cent à la réforme favorable à l'extension des projets autoroutiers. Truttikon a approuvé l'arrêté, contrairement à son canton.","Truttikon (ZH)","Nel comune di Truttikon, i cittadini hanno accolto il potenziamento delle strade nazionali con il 84,3 per cento di voti favorevoli. Truttikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Volken ZH","In Volken hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 50,4 Prozent verworfen. Volken hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Volken (ZH)","La population de Volken rejette à 50,4 pour cent des voix la réforme en faveur de l'extension des autoroutes. Volken a rejeté l'arrêté, tout comme son canton.","Volken (ZH)","A Volken gli abitanti si sono opposti al potenziamento delle strade nazionali con il 50,4 per cento di voti a sfavore. Volken ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bachenbülach ZH","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Bachenbülach: Mit 8'208 Nein- zu 4'606 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 64,1 Prozent. Bachenbülach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bachenbülach (ZH)","C'est non à la réforme en faveur de l'extension des autoroutes à Bachenbülach. Les habitants ont refusé le texte à 64,1 pour cent. Bachenbülach a rejeté l'arrêté, tout comme son canton.","Bachenbülach (ZH)","Gli elettori di Bachenbülach si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stato respinto con il 64,1 per cento di voti contrari. Bachenbülach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bassersdorf ZH","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Bassersdorf. Die Gemeinde hat die Vorlage mit 60 Prozent abgelehnt. Bassersdorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bassersdorf (ZH)","A Bassersdorf, les citoyens rejettent à 60 pour cent la réforme en faveur de l'extension des autoroutes. Bassersdorf a rejeté l'arrêté, tout comme son canton.","Bassersdorf (ZH)","Nel comune di Bassersdorf, i cittadini hanno respinto il potenziamento delle strade nazionali con il 60 per cento di voti contrari. Bassersdorf ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bülach ZH","Bülach hat den Bundesbeschluss über den Ausbau der Autobahnen mit 96,8 Prozent abgelehnt. Bülach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bülach (ZH)","La réforme en faveur de l'extension des autoroutes n'a pas trouvé grâce aux yeux des citoyens de Bülach. Ils ont refusé le texte à 96,8 pour cent. Bülach a rejeté l'arrêté, tout comme son canton.","Bülach (ZH)","Il potenziamento delle strade nazionali è stato respinto a Bülach, dove ha riscosso il 96,8 per cento di ""no"". Bülach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dietlikon ZH","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Dietlikon: Mit 1'125 Nein- zu 169 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 86,9 Prozent. Dietlikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dietlikon (ZH)","C'est non à la réforme en faveur de l'extension des autoroutes à Dietlikon. Les habitants ont refusé le texte à 86,9 pour cent. Dietlikon a rejeté l'arrêté, tout comme son canton.","Dietlikon (ZH)","Gli elettori di Dietlikon si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stato respinto con il 86,9 per cento di voti contrari. Dietlikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Eglisau ZH","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Eglisau. Die Gemeinde hat die Vorlage mit 69 Prozent der Stimmen angenommen. Eglisau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Eglisau (ZH)","La réforme en faveur de l'extension des autoroutes passe la rampe avec 69 pour cent de oui à Eglisau. Eglisau a approuvé l'arrêté, contrairement à son canton.","Eglisau (ZH)","Il potenziamento delle strade nazionali è stato accolto a Eglisau, dove ha riscosso il 69 per cento di voti a favore. Eglisau ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Embrach ZH","Die Gemeinde Embrach hat den Bundesbeschluss über den Ausbau der Autobahnen mit 78,2 Prozent Ja-Stimmen angenommen. Embrach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Embrach (ZH)","La population d'Embrach approuve à 78,2 pour cent la réforme en faveur de l'extension des autoroutes. Embrach a approuvé l'arrêté, contrairement à son canton.","Embrach (ZH)","I cittadini di Embrach hanno accolto il potenziamento delle strade nazionali con il 78,2 per cento di voti a favore. Embrach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Freienstein-Teufen ZH","76 Prozent der Stimmbürgerinnen und Stimmbürger von Freienstein-Teufen sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Freienstein-Teufen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Freienstein-Teufen (ZH)","Les habitants de Freienstein-Teufen s'opposent à la réforme en faveur de l'extension des autoroutes par 76 pour cent des voix. Freienstein-Teufen a rejeté l'arrêté, tout comme son canton.","Freienstein-Teufen (ZH)","Gli abitanti di Freienstein-Teufen hanno respinto il potenziamento delle strade nazionali con il 76 per cento di ""no"". Freienstein-Teufen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Glattfelden ZH","Die Gemeinde Glattfelden hat den Bundesbeschluss über den Ausbau der Autobahnen mit 69,1 Prozent angenommen. Glattfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Glattfelden (ZH)","A Glattfelden, les habitants disent oui à  69,1 pour cent à la réforme favorable à l'extension des projets autoroutiers. Glattfelden a approuvé l'arrêté, contrairement à son canton.","Glattfelden (ZH)","Nel comune di Glattfelden, i cittadini hanno accolto il potenziamento delle strade nazionali con il 69,1 per cento di voti favorevoli. Glattfelden ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hochfelden ZH","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Hochfelden. Die Gemeinde hat die Vorlage mit 65,1 Prozent abgelehnt. Hochfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hochfelden (ZH)","A Hochfelden, les citoyens rejettent à 65,1 pour cent la réforme en faveur de l'extension des autoroutes. Hochfelden a rejeté l'arrêté, tout comme son canton.","Hochfelden (ZH)","Nel comune di Hochfelden, i cittadini hanno respinto il potenziamento delle strade nazionali con il 65,1 per cento di voti contrari. Hochfelden ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Höri ZH","Die Gemeinde Höri hat den Bundesbeschluss über den Ausbau der Autobahnen mit 55,2 Prozent angenommen. Höri hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Höri (ZH)","A Höri, les habitants disent oui à  55,2 pour cent à la réforme favorable à l'extension des projets autoroutiers. Höri a approuvé l'arrêté, contrairement à son canton.","Höri (ZH)","Nel comune di Höri, i cittadini hanno accolto il potenziamento delle strade nazionali con il 55,2 per cento di voti favorevoli. Höri ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hüntwangen ZH","In Hüntwangen hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 83,7 Prozent verworfen. Hüntwangen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hüntwangen (ZH)","La population de Hüntwangen rejette à 83,7 pour cent des voix la réforme en faveur de l'extension des autoroutes. Hüntwangen a rejeté l'arrêté, tout comme son canton.","Hüntwangen (ZH)","A Hüntwangen gli abitanti si sono opposti al potenziamento delle strade nazionali con il 83,7 per cento di voti a sfavore. Hüntwangen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
