"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Ottenbach ZH","Mit 568 Ja zu 441 Nein hat sich Ottenbach für die Änderung des Mietrechts bei Untermiete ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 56,3 Prozent. Ottenbach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Ottenbach (ZH)","Ottenbach dit oui à 56,3 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Ottenbach a approuvé la réforme, contrairement à son canton.","Ottenbach (ZH)","Gli abitanti di Ottenbach hanno accolto la modifica del diritto di locazione (sublocazione) con il 56,3 per cento di ""sì"". Ottenbach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Rifferswil ZH","Mit 236 Ja zu 229 Nein hat sich Rifferswil für die Änderung des Mietrechts bei Untermiete ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 50,8 Prozent. Rifferswil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Rifferswil (ZH)","Rifferswil dit oui à 50,8 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Rifferswil a approuvé la réforme, contrairement à son canton.","Rifferswil (ZH)","Gli abitanti di Rifferswil hanno accolto la modifica del diritto di locazione (sublocazione) con il 50,8 per cento di ""sì"". Rifferswil ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Stallikon ZH","58 Prozent der Stimmbürgerinnen und Stimmbürger von Stallikon haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Stallikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Stallikon (ZH)","A Stallikon, les habitants disent oui à  58 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Stallikon a approuvé la réforme, contrairement à son canton.","Stallikon (ZH)","Nel comune di Stallikon, i cittadini hanno accolto la modifica del diritto di locazione (sublocazione) con il 58 per cento di voti favorevoli. Stallikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Wettswil am Albis ZH","Mit 61,3 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Wettswil am Albis für die Änderung des Mietrechts bei Untermiete gestimmt. Wettswil am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Wettswil am Albis (ZH)","La population de Wettswil am Albis approuve à 61,3 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Wettswil am Albis a approuvé la réforme, contrairement à son canton.","Wettswil am Albis (ZH)","I cittadini di Wettswil am Albis hanno accolto la modifica del diritto di locazione (sublocazione) con il 61,3 per cento di voti a favore. Wettswil am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Benken ZH","Benken ZH hat die Änderung des Mietrechts bei Untermiete angenommen. Die Gemeinde stimmte der Vorlage mit Ja-Stimmen-Anteil von 60 Prozent zu. Benken ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Benken (ZH)","L'assouplissement du droit du bail dans le domaine de la sous-location passe la rampe avec 60 pour cent de oui à Benken (ZH). Benken (ZH) a approuvé la réforme, contrairement à son canton.","Benken (ZH)","La modifica del diritto di locazione (sublocazione) è stata accolta a Benken ZH, dove ha riscosso il 60 per cento di voti a favore. Benken ZH ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Berg am Irchel ZH","61,3 Prozent der Stimmbürgerinnen und Stimmbürger in Berg am Irchel haben Ja gesagt zur Pensionskassenreform. Berg am Irchel hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Berg am Irchel (ZH)","Les habitants de Berg am Irchel acceptent à 61,3 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Berg am Irchel a approuvé la réforme, contrairement à son canton.","Berg am Irchel (ZH)","Il 61,3 per cento degli elettori di Berg am Irchel ha accolto la modifica del diritto di locazione (sublocazione). Berg am Irchel ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Buch am Irchel ZH","Ja zur Änderung des Mietrechts bei Untermiete in Buch am Irchel. Die Gemeinde hat Vorlage mit 69 Prozent der Stimmen angenommen. Buch am Irchel hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Buch am Irchel (ZH)","Les habitants de Buch am Irchel soutiennent à 69 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Buch am Irchel a approuvé la réforme, contrairement à son canton.","Buch am Irchel (ZH)","Gli elettori di Buch am Irchel si sono mostrati favorevoli alla modifica del diritto di locazione (sublocazione), che ha ricevuto il 69 per cento di ""sì"". Buch am Irchel ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Dachsen ZH","Ja zur Änderung des Mietrechts bei Untermiete in Dachsen. Die Gemeinde hat Vorlage mit 54,6 Prozent der Stimmen angenommen. Dachsen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Dachsen (ZH)","Les habitants de Dachsen soutiennent à 54,6 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Dachsen a approuvé la réforme, contrairement à son canton.","Dachsen (ZH)","Gli elettori di Dachsen si sono mostrati favorevoli alla modifica del diritto di locazione (sublocazione), che ha ricevuto il 54,6 per cento di ""sì"". Dachsen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Dorf ZH","Die Änderung des Mietrechts bei Untermiete ist in Dorf mit 63,9 Prozent der Stimmen angenommen worden. Dorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Dorf (ZH)","L'assouplissement du droit du bail dans le domaine de la sous-location est approuvé par 63,9 pour cent des votants à Dorf. Dorf a approuvé la réforme, contrairement à son canton.","Dorf (ZH)","A Dorf gli abitanti hanno accolto la modifica del diritto di locazione (sublocazione) con il 63,9 per cento di ""sì"". Dorf ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Feuerthalen ZH","52,3 Prozent der Stimmbürgerinnen und Stimmbürger in Feuerthalen haben Ja gesagt zur Pensionskassenreform. Feuerthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Feuerthalen (ZH)","Les habitants de Feuerthalen acceptent à 52,3 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Feuerthalen a approuvé la réforme, contrairement à son canton.","Feuerthalen (ZH)","Il 52,3 per cento degli elettori di Feuerthalen ha accolto la modifica del diritto di locazione (sublocazione). Feuerthalen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Flaach ZH","Mit 66,9 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Flaach für die Änderung des Mietrechts bei Untermiete gestimmt. Flaach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Flaach (ZH)","La population de Flaach approuve à 66,9 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Flaach a approuvé la réforme, contrairement à son canton.","Flaach (ZH)","I cittadini di Flaach hanno accolto la modifica del diritto di locazione (sublocazione) con il 66,9 per cento di voti a favore. Flaach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Flurlingen ZH","54,7 Prozent der Stimmbürgerinnen und Stimmbürger in Flurlingen haben Ja gesagt zur Pensionskassenreform. Flurlingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Flurlingen (ZH)","Les habitants de Flurlingen acceptent à 54,7 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Flurlingen a approuvé la réforme, contrairement à son canton.","Flurlingen (ZH)","Il 54,7 per cento degli elettori di Flurlingen ha accolto la modifica del diritto di locazione (sublocazione). Flurlingen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Henggart ZH","61,3 Prozent der Stimmbürgerinnen und Stimmbürger in Henggart haben Ja gesagt zur Pensionskassenreform. Henggart hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Henggart (ZH)","Les habitants de Henggart acceptent à 61,3 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Henggart a approuvé la réforme, contrairement à son canton.","Henggart (ZH)","Il 61,3 per cento degli elettori di Henggart ha accolto la modifica del diritto di locazione (sublocazione). Henggart ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Kleinandelfingen ZH","Mit 437 Ja zu 342 Nein hat sich Kleinandelfingen für die Änderung des Mietrechts bei Untermiete ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 56,1 Prozent. Kleinandelfingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Kleinandelfingen (ZH)","Kleinandelfingen dit oui à 56,1 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Kleinandelfingen a approuvé la réforme, contrairement à son canton.","Kleinandelfingen (ZH)","Gli abitanti di Kleinandelfingen hanno accolto la modifica del diritto di locazione (sublocazione) con il 56,1 per cento di ""sì"". Kleinandelfingen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Laufen-Uhwiesen ZH","62,5 Prozent der Stimmbürgerinnen und Stimmbürger in Laufen-Uhwiesen haben Ja gesagt zur Pensionskassenreform. Laufen-Uhwiesen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Laufen-Uhwiesen (ZH)","Les habitants de Laufen-Uhwiesen acceptent à 62,5 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Laufen-Uhwiesen a approuvé la réforme, contrairement à son canton.","Laufen-Uhwiesen (ZH)","Il 62,5 per cento degli elettori di Laufen-Uhwiesen ha accolto la modifica del diritto di locazione (sublocazione). Laufen-Uhwiesen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Marthalen ZH","Mit 421 Ja zu 322 Nein hat sich Marthalen für die Änderung des Mietrechts bei Untermiete ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 56,7 Prozent. Marthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Marthalen (ZH)","Marthalen dit oui à 56,7 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Marthalen a approuvé la réforme, contrairement à son canton.","Marthalen (ZH)","Gli abitanti di Marthalen hanno accolto la modifica del diritto di locazione (sublocazione) con il 56,7 per cento di ""sì"". Marthalen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Ossingen ZH","Ossingen hat die Änderung des Mietrechts bei Untermiete angenommen. Die Gemeinde stimmte der Vorlage mit Ja-Stimmen-Anteil von 56,9 Prozent zu. Ossingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Ossingen (ZH)","L'assouplissement du droit du bail dans le domaine de la sous-location passe la rampe avec 56,9 pour cent de oui à Ossingen. Ossingen a approuvé la réforme, contrairement à son canton.","Ossingen (ZH)","La modifica del diritto di locazione (sublocazione) è stata accolta a Ossingen, dove ha riscosso il 56,9 per cento di voti a favore. Ossingen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Rheinau ZH","Mit 51,5 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Rheinau für die Änderung des Mietrechts bei Untermiete gestimmt. Rheinau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Rheinau (ZH)","La population de Rheinau approuve à 51,5 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Rheinau a approuvé la réforme, contrairement à son canton.","Rheinau (ZH)","I cittadini di Rheinau hanno accolto la modifica del diritto di locazione (sublocazione) con il 51,5 per cento di voti a favore. Rheinau ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Thalheim an der Thur ZH","Mit 62,3 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Thalheim an der Thur für die Änderung des Mietrechts bei Untermiete gestimmt. Thalheim an der Thur hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Thalheim an der Thur (ZH)","La population de Thalheim an der Thur approuve à 62,3 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Thalheim an der Thur a approuvé la réforme, contrairement à son canton.","Thalheim an der Thur (ZH)","I cittadini di Thalheim an der Thur hanno accolto la modifica del diritto di locazione (sublocazione) con il 62,3 per cento di voti a favore. Thalheim an der Thur ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Trüllikon ZH","Ja zur Änderung des Mietrechts bei Untermiete in Trüllikon. Die Gemeinde hat Vorlage mit 60 Prozent der Stimmen angenommen. Trüllikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Trüllikon (ZH)","Les habitants de Trüllikon soutiennent à 60 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Trüllikon a approuvé la réforme, contrairement à son canton.","Trüllikon (ZH)","Gli elettori di Trüllikon si sono mostrati favorevoli alla modifica del diritto di locazione (sublocazione), che ha ricevuto il 60 per cento di ""sì"". Trüllikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Truttikon ZH","60,1 Prozent der Stimmbürgerinnen und Stimmbürger von Truttikon haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Truttikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Truttikon (ZH)","A Truttikon, les habitants disent oui à  60,1 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Truttikon a approuvé la réforme, contrairement à son canton.","Truttikon (ZH)","Nel comune di Truttikon, i cittadini hanno accolto la modifica del diritto di locazione (sublocazione) con il 60,1 per cento di voti favorevoli. Truttikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Volken ZH","Die Änderung des Mietrechts bei Untermiete ist in Volken mit 66,7 Prozent der Stimmen angenommen worden. Volken hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Volken (ZH)","L'assouplissement du droit du bail dans le domaine de la sous-location est approuvé par 66,7 pour cent des votants à Volken. Volken a approuvé la réforme, contrairement à son canton.","Volken (ZH)","A Volken gli abitanti hanno accolto la modifica del diritto di locazione (sublocazione) con il 66,7 per cento di ""sì"". Volken ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Bachenbülach ZH","Ja zur Änderung des Mietrechts bei Untermiete in Bachenbülach. Die Gemeinde hat Vorlage mit 55,5 Prozent der Stimmen angenommen. Bachenbülach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Bachenbülach (ZH)","Les habitants de Bachenbülach soutiennent à 55,5 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Bachenbülach a approuvé la réforme, contrairement à son canton.","Bachenbülach (ZH)","Gli elettori di Bachenbülach si sono mostrati favorevoli alla modifica del diritto di locazione (sublocazione), che ha ricevuto il 55,5 per cento di ""sì"". Bachenbülach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Bassersdorf ZH","50,1 Prozent der Stimmbürgerinnen und Stimmbürger von Bassersdorf haben sich gegen die Änderung des Mietrechts bei Untermiete ausgesprochen. Bassersdorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bassersdorf (ZH)","A Bassersdorf, les citoyens rejettent à 50,1 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Bassersdorf a rejeté la réforme, tout comme son canton.","Bassersdorf (ZH)","Nel comune di Bassersdorf, i cittadini hanno respinto la modifica del diritto di locazione (sublocazione) con il 50,1 per cento di voti contrari. Bassersdorf ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bülach ZH","Bülach hat die Änderung des Mietrechts bei Untermiete mit 55 Prozent Nein-Stimmen verworfen. Bülach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bülach (ZH)","L'assouplissement du droit du bail dans le domaine de la sous-location n'a pas trouvé grâce aux yeux des citoyens de Bülach. Ils ont refusé le texte à 55 pour cent. Bülach a rejeté la réforme, tout comme son canton.","Bülach (ZH)","La modifica del diritto di locazione (sublocazione) è stata respinta a Bülach, dove ha riscosso il 55 per cento di ""no"". Bülach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dietlikon ZH","Ja zur Änderung des Mietrechts bei Untermiete in Dietlikon. Die Gemeinde hat Vorlage mit 50,2 Prozent der Stimmen angenommen. Dietlikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Dietlikon (ZH)","Les habitants de Dietlikon soutiennent à 50,2 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Dietlikon a approuvé la réforme, contrairement à son canton.","Dietlikon (ZH)","Gli elettori di Dietlikon si sono mostrati favorevoli alla modifica del diritto di locazione (sublocazione), che ha ricevuto il 50,2 per cento di ""sì"". Dietlikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Eglisau ZH","Eglisau hat die Änderung des Mietrechts bei Untermiete angenommen. Die Gemeinde stimmte der Vorlage mit Ja-Stimmen-Anteil von 56,2 Prozent zu. Eglisau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Eglisau (ZH)","L'assouplissement du droit du bail dans le domaine de la sous-location passe la rampe avec 56,2 pour cent de oui à Eglisau. Eglisau a approuvé la réforme, contrairement à son canton.","Eglisau (ZH)","La modifica del diritto di locazione (sublocazione) è stata accolta a Eglisau, dove ha riscosso il 56,2 per cento di voti a favore. Eglisau ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Embrach ZH","Mit 56,7 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Embrach für die Änderung des Mietrechts bei Untermiete gestimmt. Embrach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Embrach (ZH)","La population d'Embrach approuve à 56,7 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Embrach a approuvé la réforme, contrairement à son canton.","Embrach (ZH)","I cittadini di Embrach hanno accolto la modifica del diritto di locazione (sublocazione) con il 56,7 per cento di voti a favore. Embrach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Freienstein-Teufen ZH","Mit 452 Ja zu 330 Nein hat sich Freienstein-Teufen für die Änderung des Mietrechts bei Untermiete ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 57,8 Prozent. Freienstein-Teufen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Freienstein-Teufen (ZH)","Freienstein-Teufen dit oui à 57,8 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Freienstein-Teufen a approuvé la réforme, contrairement à son canton.","Freienstein-Teufen (ZH)","Gli abitanti di Freienstein-Teufen hanno accolto la modifica del diritto di locazione (sublocazione) con il 57,8 per cento di ""sì"". Freienstein-Teufen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Glattfelden ZH","55,4 Prozent der Stimmbürgerinnen und Stimmbürger von Glattfelden haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Glattfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Glattfelden (ZH)","A Glattfelden, les habitants disent oui à  55,4 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Glattfelden a approuvé la réforme, contrairement à son canton.","Glattfelden (ZH)","Nel comune di Glattfelden, i cittadini hanno accolto la modifica del diritto di locazione (sublocazione) con il 55,4 per cento di voti favorevoli. Glattfelden ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hochfelden ZH","57,2 Prozent der Stimmbürgerinnen und Stimmbürger von Hochfelden haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Hochfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Hochfelden (ZH)","A Hochfelden, les habitants disent oui à  57,2 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Hochfelden a approuvé la réforme, contrairement à son canton.","Hochfelden (ZH)","Nel comune di Hochfelden, i cittadini hanno accolto la modifica del diritto di locazione (sublocazione) con il 57,2 per cento di voti favorevoli. Hochfelden ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Höri ZH","62,8 Prozent der Stimmbürgerinnen und Stimmbürger von Höri haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Höri hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Höri (ZH)","A Höri, les habitants disent oui à  62,8 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Höri a approuvé la réforme, contrairement à son canton.","Höri (ZH)","Nel comune di Höri, i cittadini hanno accolto la modifica del diritto di locazione (sublocazione) con il 62,8 per cento di voti favorevoli. Höri ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hüntwangen ZH","Die Änderung des Mietrechts bei Untermiete ist in Hüntwangen mit 62,1 Prozent der Stimmen angenommen worden. Hüntwangen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Hüntwangen (ZH)","L'assouplissement du droit du bail dans le domaine de la sous-location est approuvé par 62,1 pour cent des votants à Hüntwangen. Hüntwangen a approuvé la réforme, contrairement à son canton.","Hüntwangen (ZH)","A Hüntwangen gli abitanti hanno accolto la modifica del diritto di locazione (sublocazione) con il 62,1 per cento di ""sì"". Hüntwangen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
