"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Ottenbach ZH","Mit 9'640 Ja zu 1'689 Nein hat sich Ottenbach für die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Das entspricht 85,1 Prozent. Ottenbach hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Ottenbach (ZH)","Ottenbach dit oui à 85,1 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Ottenbach a approuvé la réforme, tout comme son canton.","Ottenbach (ZH)","Gli abitanti di Ottenbach hanno accolto il finanziamento uniforme delle prestazioni con il 85,1 per cento di ""sì"". Ottenbach ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Rifferswil ZH","54,3 der Stimmbürgerinnen und Stimmbürger von Rifferswil haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Rifferswil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Rifferswil (ZH)","Les habitants de Rifferswil s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 54,3 pour cent des voix. Rifferswil a rejeté la réforme, contrairement à son canton.","Rifferswil (ZH)","Gli abitanti di Rifferswil hanno respinto il finanziamento uniforme delle prestazioni con il 54,3 per cento di ""no"". Rifferswil ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Stallikon ZH","74,7 Prozent der Stimmbürgerinnen und Stimmbürger von Stallikon haben sich für die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Stallikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Stallikon (ZH)","A Stallikon, les habitants disent oui à  74,7 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Stallikon a approuvé la réforme, tout comme son canton.","Stallikon (ZH)","Nel comune di Stallikon, i cittadini hanno accolto il finanziamento uniforme delle prestazioni con il 74,7 per cento di voti favorevoli. Stallikon ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Wettswil am Albis ZH","Wettswil am Albis hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 74,2 Prozent Nein verworfen. Wettswil am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Wettswil am Albis (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 74,2 pour cent à Wettswil am Albis. Wettswil am Albis a rejeté la réforme, contrairement à son canton.","Wettswil am Albis (ZH)","I cittadini di Wettswil am Albis hanno respinto il finanziamento uniforme delle prestazioni con il 74,2 per cento di voti contrari. Wettswil am Albis ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Benken ZH","Benken ZH hat der einheitlichen Finanzierung der Leistungen im Gesundheitswesen mit 8'036 Ja- zu 5'995 Nein-Stimmen zugestimmt. Das entspricht einem Ja-Stimmen-Anteil von 57,3 Prozent. Benken ZH hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Benken (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée passe la rampe avec 57,3 pour cent de oui à Benken (ZH). Benken (ZH) a approuvé la réforme, tout comme son canton.","Benken (ZH)","Il finanziamento uniforme delle prestazioni è stato accolto a Benken ZH, dove ha riscosso il 57,3 per cento di voti a favore. Benken ZH ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Berg am Irchel ZH","Keine Mehrheit für die einheitliche Finanzierung der Leistungen im Gesundheitswesen in Berg am Irchel: Die Vorlage ist mit 89,8 Prozent gescheitert. Berg am Irchel hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Berg am Irchel (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Berg am Irchel. Les citoyens de la commune ont refusé le texte à 89,8 pour cent. Berg am Irchel a rejeté la réforme, contrairement à son canton.","Berg am Irchel (ZH)","Il 89,8 per cento degli elettori di Berg am Irchel ha respinto il finanziamento uniforme delle prestazioni. Berg am Irchel ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Buch am Irchel ZH","In Buch am Irchel hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen keine Mehrheit gefunden: 82,5 Prozent haben die Vorlage abgelehnt. Buch am Irchel hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Buch am Irchel (ZH)","C'est non au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée à Buch am Irchel. Les habitants ont refusé le texte à 82,5 pour cent. Buch am Irchel a rejeté la réforme, contrairement à son canton.","Buch am Irchel (ZH)","Gli elettori di Buch am Irchel si sono mostrati scettici nei confronti del finanziamento uniforme delle prestazioni, che è stato respinto con il 82,5 per cento di voti contrari. Buch am Irchel ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Dachsen ZH","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Dachsen. Die Gemeinde hat die Vorlage mit 75,6 Prozent der Stimmen angenommen. Dachsen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Dachsen (ZH)","Les habitants de Dachsen soutiennent à 75,6 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Dachsen a approuvé la réforme, tout comme son canton.","Dachsen (ZH)","Gli elettori di Dachsen si sono mostrati favorevoli al finanziamento uniforme delle prestazioni, che ha ricevuto il 75,6 per cento di ""sì"". Dachsen ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Dorf ZH","Mit 4'926 Nein zu 2'696 Ja haben die Stimmbürgerinnen und Stimmbürger von Dorf die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Das sind 64,6 Prozent. Dorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Dorf (ZH)","La population de Dorf rejette à 64,6 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Dorf a rejeté la réforme, contrairement à son canton.","Dorf (ZH)","A Dorf gli abitanti si sono opposti al finanziamento uniforme delle prestazioni con il 64,6 per cento di voti a sfavore. Dorf ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Feuerthalen ZH","Keine Mehrheit für die einheitliche Finanzierung der Leistungen im Gesundheitswesen in Feuerthalen: Die Vorlage ist mit 59,2 Prozent gescheitert. Feuerthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Feuerthalen (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Feuerthalen. Les citoyens de la commune ont refusé le texte à 59,2 pour cent. Feuerthalen a rejeté la réforme, contrairement à son canton.","Feuerthalen (ZH)","Il 59,2 per cento degli elettori di Feuerthalen ha respinto il finanziamento uniforme delle prestazioni. Feuerthalen ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Flaach ZH","Flaach hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 50,8 Prozent Nein verworfen. Flaach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Flaach (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 50,8 pour cent à Flaach. Flaach a rejeté la réforme, contrairement à son canton.","Flaach (ZH)","I cittadini di Flaach hanno respinto il finanziamento uniforme delle prestazioni con il 50,8 per cento di voti contrari. Flaach ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Flurlingen ZH","52,1 Prozent der Stimmbürgerinnen und Stimmbürger in Flurlingen haben Ja gesagt zur einheitliche Finanzierung der Leistungen im Gesundheitswesen. Flurlingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Flurlingen (ZH)","Les habitants de Flurlingen acceptent avec 52,1 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Flurlingen a approuvé la réforme, tout comme son canton.","Flurlingen (ZH)","Il 52,1 per cento degli elettori di Flurlingen ha accolto il finanziamento uniforme delle prestazioni. Flurlingen ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Henggart ZH","79,3 Prozent der Stimmbürgerinnen und Stimmbürger in Henggart haben Ja gesagt zur einheitliche Finanzierung der Leistungen im Gesundheitswesen. Henggart hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Henggart (ZH)","Les habitants de Henggart acceptent avec 79,3 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Henggart a approuvé la réforme, tout comme son canton.","Henggart (ZH)","Il 79,3 per cento degli elettori di Henggart ha accolto il finanziamento uniforme delle prestazioni. Henggart ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Kleinandelfingen ZH","Mit 7'506 Ja zu 422 Nein hat sich Kleinandelfingen für die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Das entspricht 94,7 Prozent. Kleinandelfingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Kleinandelfingen (ZH)","Kleinandelfingen dit oui à 94,7 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Kleinandelfingen a approuvé la réforme, tout comme son canton.","Kleinandelfingen (ZH)","Gli abitanti di Kleinandelfingen hanno accolto il finanziamento uniforme delle prestazioni con il 94,7 per cento di ""sì"". Kleinandelfingen ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Laufen-Uhwiesen ZH","96 Prozent der Stimmbürgerinnen und Stimmbürger in Laufen-Uhwiesen haben Ja gesagt zur einheitliche Finanzierung der Leistungen im Gesundheitswesen. Laufen-Uhwiesen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Laufen-Uhwiesen (ZH)","Les habitants de Laufen-Uhwiesen acceptent avec 96 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Laufen-Uhwiesen a approuvé la réforme, tout comme son canton.","Laufen-Uhwiesen (ZH)","Il 96 per cento degli elettori di Laufen-Uhwiesen ha accolto il finanziamento uniforme delle prestazioni. Laufen-Uhwiesen ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Marthalen ZH","83,4 der Stimmbürgerinnen und Stimmbürger von Marthalen haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Marthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Marthalen (ZH)","Les habitants de Marthalen s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 83,4 pour cent des voix. Marthalen a rejeté la réforme, contrairement à son canton.","Marthalen (ZH)","Gli abitanti di Marthalen hanno respinto il finanziamento uniforme delle prestazioni con il 83,4 per cento di ""no"". Marthalen ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Ossingen ZH","Ossingen hat der einheitlichen Finanzierung der Leistungen im Gesundheitswesen mit 3'568 Ja- zu 1'749 Nein-Stimmen zugestimmt. Das entspricht einem Ja-Stimmen-Anteil von 67,1 Prozent. Ossingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Ossingen (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée passe la rampe avec 67,1 pour cent de oui à Ossingen. Ossingen a approuvé la réforme, tout comme son canton.","Ossingen (ZH)","Il finanziamento uniforme delle prestazioni è stato accolto a Ossingen, dove ha riscosso il 67,1 per cento di voti a favore. Ossingen ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Rheinau ZH","Mit 75,9 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Rheinau die einheitliche Finanzierung der Leistungen im Gesundheitswesen befürwortet. Rheinau hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Rheinau (ZH)","La population de Rheinau approuve à 75,9 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Rheinau a approuvé la réforme, tout comme son canton.","Rheinau (ZH)","I cittadini di Rheinau hanno accolto il finanziamento uniforme delle prestazioni con il 75,9 per cento di voti a favore. Rheinau ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Thalheim an der Thur ZH","Thalheim an der Thur hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 66,8 Prozent Nein verworfen. Thalheim an der Thur hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Thalheim an der Thur (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 66,8 pour cent à Thalheim an der Thur. Thalheim an der Thur a rejeté la réforme, contrairement à son canton.","Thalheim an der Thur (ZH)","I cittadini di Thalheim an der Thur hanno respinto il finanziamento uniforme delle prestazioni con il 66,8 per cento di voti contrari. Thalheim an der Thur ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Trüllikon ZH","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Trüllikon. Die Gemeinde hat die Vorlage mit 81,7 Prozent der Stimmen angenommen. Trüllikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Trüllikon (ZH)","Les habitants de Trüllikon soutiennent à 81,7 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Trüllikon a approuvé la réforme, tout comme son canton.","Trüllikon (ZH)","Gli elettori di Trüllikon si sono mostrati favorevoli al finanziamento uniforme delle prestazioni, che ha ricevuto il 81,7 per cento di ""sì"". Trüllikon ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Truttikon ZH","55,3 Prozent der Stimmbürgerinnen und Stimmbürger von Truttikon haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Truttikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Truttikon (ZH)","A Truttikon, les citoyens rejettent à 55,3 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Truttikon a rejeté la réforme, contrairement à son canton.","Truttikon (ZH)","Nel comune di Truttikon, i cittadini hanno respinto il finanziamento uniforme delle prestazioni con il 55,3 per cento di voti contrari. Truttikon ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Volken ZH","Mit 9'019 Nein zu 6'745 Ja haben die Stimmbürgerinnen und Stimmbürger von Volken die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Das sind 57,2 Prozent. Volken hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Volken (ZH)","La population de Volken rejette à 57,2 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Volken a rejeté la réforme, contrairement à son canton.","Volken (ZH)","A Volken gli abitanti si sono opposti al finanziamento uniforme delle prestazioni con il 57,2 per cento di voti a sfavore. Volken ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Bachenbülach ZH","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Bachenbülach. Die Gemeinde hat die Vorlage mit 81,1 Prozent der Stimmen angenommen. Bachenbülach hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Bachenbülach (ZH)","Les habitants de Bachenbülach soutiennent à 81,1 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Bachenbülach a approuvé la réforme, tout comme son canton.","Bachenbülach (ZH)","Gli elettori di Bachenbülach si sono mostrati favorevoli al finanziamento uniforme delle prestazioni, che ha ricevuto il 81,1 per cento di ""sì"". Bachenbülach ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Bassersdorf ZH","65,6 Prozent der Stimmbürgerinnen und Stimmbürger von Bassersdorf haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Bassersdorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Bassersdorf (ZH)","A Bassersdorf, les citoyens rejettent à 65,6 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Bassersdorf a rejeté la réforme, contrairement à son canton.","Bassersdorf (ZH)","Nel comune di Bassersdorf, i cittadini hanno respinto il finanziamento uniforme delle prestazioni con il 65,6 per cento di voti contrari. Bassersdorf ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Bülach ZH","Bülach hat der einheitlichen Finanzierung der Leistungen im Gesundheitswesen mit 6'899 Ja- zu 2'966 Nein-Stimmen zugestimmt. Das entspricht einem Ja-Stimmen-Anteil von 69,9 Prozent. Bülach hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Bülach (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée passe la rampe avec 69,9 pour cent de oui à Bülach. Bülach a approuvé la réforme, tout comme son canton.","Bülach (ZH)","Il finanziamento uniforme delle prestazioni è stato accolto a Bülach, dove ha riscosso il 69,9 per cento di voti a favore. Bülach ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Dietlikon ZH","In Dietlikon hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen keine Mehrheit gefunden: 83,4 Prozent haben die Vorlage abgelehnt. Dietlikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Dietlikon (ZH)","C'est non au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée à Dietlikon. Les habitants ont refusé le texte à 83,4 pour cent. Dietlikon a rejeté la réforme, contrairement à son canton.","Dietlikon (ZH)","Gli elettori di Dietlikon si sono mostrati scettici nei confronti del finanziamento uniforme delle prestazioni, che è stato respinto con il 83,4 per cento di voti contrari. Dietlikon ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Eglisau ZH","Eglisau hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 82,5 Prozent Nein-Stimmen verworfen. Eglisau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Eglisau (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas trouvé grâce aux yeux des citoyens d'Eglisau. Ils ont refusé le texte à 82,5 pour cent. Eglisau a rejeté la réforme, contrairement à son canton.","Eglisau (ZH)","Il finanziamento uniforme delle prestazioni è stato respinto a Eglisau, dove ha riscosso il 82,5 per cento di ""no"". Eglisau ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Embrach ZH","Mit 50,4 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Embrach die einheitliche Finanzierung der Leistungen im Gesundheitswesen befürwortet. Embrach hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Embrach (ZH)","La population d'Embrach approuve à 50,4 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Embrach a approuvé la réforme, tout comme son canton.","Embrach (ZH)","I cittadini di Embrach hanno accolto il finanziamento uniforme delle prestazioni con il 50,4 per cento di voti a favore. Embrach ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Freienstein-Teufen ZH","65,1 der Stimmbürgerinnen und Stimmbürger von Freienstein-Teufen haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Freienstein-Teufen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Freienstein-Teufen (ZH)","Les habitants de Freienstein-Teufen s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 65,1 pour cent des voix. Freienstein-Teufen a rejeté la réforme, contrairement à son canton.","Freienstein-Teufen (ZH)","Gli abitanti di Freienstein-Teufen hanno respinto il finanziamento uniforme delle prestazioni con il 65,1 per cento di ""no"". Freienstein-Teufen ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Glattfelden ZH","73,7 Prozent der Stimmbürgerinnen und Stimmbürger von Glattfelden haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Glattfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Glattfelden (ZH)","A Glattfelden, les citoyens rejettent à 73,7 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Glattfelden a rejeté la réforme, contrairement à son canton.","Glattfelden (ZH)","Nel comune di Glattfelden, i cittadini hanno respinto il finanziamento uniforme delle prestazioni con il 73,7 per cento di voti contrari. Glattfelden ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Hochfelden ZH","52,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hochfelden haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Hochfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Hochfelden (ZH)","A Hochfelden, les citoyens rejettent à 52,9 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Hochfelden a rejeté la réforme, contrairement à son canton.","Hochfelden (ZH)","Nel comune di Hochfelden, i cittadini hanno respinto il finanziamento uniforme delle prestazioni con il 52,9 per cento di voti contrari. Hochfelden ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
